cache,channelmin,channelmax,publishedperformance,estimatedperformance,cresult,dresult
256,16,128,198,199,c,199
32,8,32,269,253,c,253
32,8,32,220,253,c,253
32,8,32,172,253,c,253
32,8,16,132,132,e,113
64,8,32,318,290,c,253
64,16,32,367,381,b,80
64,16,32,489,381,b,80
64,16,32,636,749,b,80
128,32,64,1144,1238,d,199
0,1,2,38,23,a,17
4,1,6,40,24,a,28
65,1,8,92,70,a,20
65,1,8,138,117,e,20
0,1,4,10,15,a,34
0,4,32,35,64,a,23
8,4,15,19,23,a,23
0,7,32,28,29,a,23
0,5,16,31,22,a,23
142,8,64,120,124,e,33
0,5,32,30,35,a,23
0,5,20,33,39,a,23
0,6,64,61,40,a,30
0,6,64,76,45,a,30
0,1,12,23,28,a,20
4,1,3,69,21,a,24
0,1,6,33,28,a,28
4,1,3,27,22,a,24
4,1,5,77,28,a,28
4,1,6,27,27,a,28
131,12,24,274,102,e,74
131,12,24,368,102,c,74
30,12,24,32,74,a,74
30,12,24,63,74,a,74
30,12,24,106,138,e,74
30,12,24,208,136,e,74
8,1,4,20,23,a,34
8,1,5,29,29,a,28
8,1,5,71,44,a,28
8,3,5,26,30,a,28
8,3,5,36,41,a,28
8,3,5,40,74,a,28
8,3,6,52,74,a,28
8,3,6,60,74,a,28
9,3,12,72,54,a,20
9,3,12,72,41,a,20
8,1,1,18,18,a,18
0,1,1,20,28,a,18
4,1,5,40,36,a,28
8,1,8,62,38,a,20
0,1,1,24,34,a,18
0,1,1,24,19,a,18
16,1,3,138,72,e,24
0,1,2,36,36,a,17
16,1,2,26,30,a,17
16,1,2,60,56,a,17
16,1,2,71,42,a,17
0,1,4,12,34,a,34
0,1,4,14,34,a,34
0,1,4,20,34,a,34
0,1,4,16,34,a,34
0,1,4,22,34,a,34
0,8,20,36,19,a,19
64,1,38,144,75,e,20
64,1,38,144,113,e,20
128,1,38,259,157,c,20
0,3,10,17,18,a,20
0,3,10,26,20,a,20
0,3,24,32,28,a,20
8,3,19,32,33,a,20
8,3,24,62,47,a,20
8,3,48,64,54,a,20
